Category,Question,Answer
I. Fundamentals,1. What is Node.js?,Node.js is a back-end JavaScript runtime environment that runs on the V8 engine and executes JavaScript code outside a web browser.
,2. Why use Node.js?,"Node.js is used for its non-blocking, event-driven architecture, which makes it efficient and lightweight for building scalable network applications. It also allows developers to use JavaScript for both front-end and back-end development."
,3. How does Node.js work?,"Node.js works on a single-threaded event loop. It uses non-blocking I/O operations to handle multiple concurrent requests efficiently. When a request is made, it's processed in the event loop, and if it's an I/O operation, Node.js delegates it to the system's kernel and continues to process other requests."
,4. What is the V8 engine?,"The V8 engine is an open-source, high-performance JavaScript and WebAssembly engine written in C++. It is developed by Google and is used in Google Chrome and Node.js, among others."
,5. Is Node.js single-threaded or multi-threaded?,"Node.js is single-threaded. It uses a single thread to execute JavaScript code, which simplifies programming by avoiding the complexities of multi-threading. However, it uses a thread pool for handling I/O operations, which allows it to perform non-blocking I/O concurrently."
,6. Explain the concept of non-blocking I/O.,"Non-blocking I/O (Input/Output) is a form of I/O that does not block the execution of a program. In Node.js, when a program requests an I/O operation, it doesn't wait for the operation to complete. Instead, it continues to execute other code and is notified via a callback when the I/O operation is finished."
,7. What is the event loop?,"The event loop is a core part of Node.js that allows it to perform non-blocking I/O operations. It's a loop that continuously checks for and processes events from the event queue, such as I/O operations, timers, and user-initiated events."
,8. What is npm?,"npm (Node Package Manager) is the default package manager for Node.js. It is used to install, manage, and share reusable JavaScript code packages (modules)."
,9. What is the purpose of the package.json file?,"The package.json file is a manifest file for a Node.js project. It contains metadata about the project, such as its name, version, and dependencies, as well as scripts for automating tasks."
,10. How do you install a package using npm?,"To install a package using npm, you use the npm install command followed by the package name, like this: npm install <package-name>."
,11. What is the difference between dependencies and devDependencies?,"dependencies are packages that are required for the application to run in production, while devDependencies are packages that are only needed for development and testing, such as testing frameworks and build tools."
,12. What is the node_modules directory?,The node_modules directory is where npm installs the packages that your project depends on. Each package has its own subdirectory within node_modules.
,13. How do you run a Node.js script from the command line?,"To run a Node.js script from the command line, you use the node command followed by the path to the script file, like this: node <script-file>.js."
,14. What is the require() function?,The require() function is a built-in function in Node.js that is used to import modules. It takes a module identifier as an argument and returns the module.exports object of that module.
,15. What are modules in Node.js?,Modules in Node.js are reusable blocks of code that can be imported into other files. Each file in a Node.js application is treated as a separate module.
,"16. What is the difference between core modules, local modules, and third-party modules?","Core modules are built-in modules that come with Node.js, such as fs and http. Local modules are modules that you create within your own project. Third-party modules are modules that are created by other developers and are available on the npm registry."
,17. How do you export a module?,"You can export a module by assigning a value to the module.exports object. This can be a function, an object, a class, or any other JavaScript value."
,18. What is the module.exports object?,module.exports is an object that is created by the Node.js module system. It is used to export values from a module so that they can be used in other parts of the application.
,19. What is the difference between module.exports and exports?,"module.exports is a reference to the actual object that is returned by the require() function, while exports is a shorthand for module.exports. If you reassign exports to a new value, it will no longer be a reference to module.exports."
,20. How do you create a simple HTTP server in Node.js?,You can create a simple HTTP server in Node.js using the http module. You use the http.createServer() method to create a server and then call the listen() method to start listening for requests.
,21. What are the request and response objects in an HTTP server?,"The request object represents an incoming HTTP request and contains information about the request, such as the URL, headers, and body. The response object represents the outgoing HTTP response and is used to send data back to the client."
,22. How do you read environment variables in Node.js?,You can read environment variables in Node.js using the process.env object. This object contains all the environment variables that are available to the current process.
,23. What is the process object?,"The process object is a global object in Node.js that provides information about and control over the current Node.js process. It contains properties and methods for interacting with the process, such as process.env, process.argv, and process.exit()."
,24. How do you exit a Node.js application?,You can exit a Node.js application by calling the process.exit() method. You can optionally pass an exit code as an argument to indicate whether the application exited successfully or with an error.
,25. What is REPL?,REPL (Read-Eval-Print Loop) is an interactive shell for Node.js that allows you to execute JavaScript code and see the results immediately. It is useful for testing and debugging code snippets.
,26. What does __dirname and __filename represent?,"__dirname is a string that represents the directory name of the current module. __filename is a string that represents the file name of the current module, including the full path."
,27. How do you handle command-line arguments in Node.js?,"You can handle command-line arguments in Node.js using the process.argv array. This array contains all the command-line arguments that were passed to the Node.js process, including the path to the Node.js executable and the script file."
,28. What are arrow functions?,"Arrow functions are a concise way to write functions in JavaScript. They are defined using the => syntax and have a lexical this binding, which means that this refers to the this of the enclosing scope."
,29. Explain the difference between == and ===.,"The == operator performs a loose equality comparison, which means that it will try to coerce the operands to the same type before comparing them. The === operator performs a strict equality comparison, which means that it will only return true if the operands have the same type and value."
,30. What are template literals?,Template literals are a way to create strings in JavaScript that can contain embedded expressions. They are enclosed in backticks (`) and can span multiple lines.
II. Asynchronous Programming,31. What is asynchronous programming?,"Asynchronous programming is a programming paradigm that allows a program to perform multiple tasks at the same time without blocking the execution of the main thread. In Node.js, this is achieved through the use of callbacks, Promises, and async/await."
,32. Why is asynchronous programming important in Node.js?,Asynchronous programming is important in Node.js because it allows the server to handle a large number of concurrent connections without getting blocked by I/O operations. This makes Node.js applications highly scalable and efficient.
,33. What are callbacks?,Callbacks are functions that are passed as arguments to other functions and are executed after the outer function has completed. They are used in Node.js to handle asynchronous operations.
,"34. What is ""callback hell"" or the ""pyramid of doom""?","Callback hell is a situation where you have multiple nested callbacks, which can make the code difficult to read and maintain. This often happens when you have a series of asynchronous operations that depend on each other."
,35. How can you avoid callback hell?,"You can avoid callback hell by using Promises or async/await. Promises provide a more structured way to handle asynchronous operations, while async/await allows you to write asynchronous code that looks and feels like synchronous code."
